system_name,preset,lineage,block,split,status,evidence_type,fairness_status,trust_tier,n_questions,composite_score,public_score,private_score,final_rank,local_counterpart,answer_accuracy,doc_accuracy,page_proximity,runtime_total_seconds,rerank_seconds,avg_score_delta,doc_flip_rate,page_change_rate,answer_change_rate,per_domain_score_delta,config_hash,hardware_tag,artifact_dir,notes,methodology_flags,gpu_memory_snapshots
candidate_sc_v3_smoke,candidate_structure_chunks_v3_short_doc,candidate_structure_chunks_v3_short_doc,retrieval_doc_stability,fold0,artifact_present,offline_named_preset,fair,trusted_offline,10,0.8257532956685498,,,,,0.9,0.8,0.7030131826741997,128.45881581306458,51.934818267822266,-0.04166666666666667,0.1,0.1,0.0,"{""domain_1"": 0.0, ""domain_2"": -0.05952380952380953}",ef04aa8e6d31f1eb857ff791a4e0cdf430fc19e0e4a0e8f2a527a49a27d6d4fc,unknown,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/candidate_sc_v3_smoke,,,[]
candidate_structure_chunks_v1_10,candidate_structure_chunks_v1,candidate_structure_chunks_v1,retrieval_doc_stability,10q,artifact_present,offline_named_preset,fair,trusted_offline,10,0.976991199119912,,,,,1.0,1.0,0.907964796479648,145.76059913635254,51.15669393539429,,,,,{},,,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/candidate_structure_chunks_v1_10,,,[]
candidate_structure_chunks_v1_50,candidate_structure_chunks_v1,candidate_structure_chunks_v1,retrieval_doc_stability,50q,artifact_present,offline_named_preset,fair,trusted_offline,50,0.886043543138631,,,,,0.94,0.88,0.784174172554524,347.33228158950806,145.58689546585083,,,,,{},,,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/candidate_structure_chunks_v1_50,,,[]
candidate_structure_chunks_v1_fold0,candidate_structure_chunks_v1,candidate_structure_chunks_v1,retrieval_doc_stability,fold0,artifact_present,offline_named_preset,fair,trusted_offline,73,0.8148876014559786,,,,,0.8767123287671232,0.8082191780821918,0.6979065702074755,336.5583930015564,102.22063374519348,-0.015981735159817354,0.0684931506849315,0.0684931506849315,0.0410958904109589,"{""domain_1"": 0.0, ""domain_2"": -0.03333333333333334}",ff2b61736fcd96e243b04f501fbab2ac9bc82b3995bf3d9d85765a13b8ba86fb,a30-standby,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/candidate_structure_chunks_v1_fold0,,,[]
candidate_structure_chunks_v1_full,candidate_structure_chunks_v1,candidate_structure_chunks_v1,retrieval_doc_stability,full_dev,artifact_present,offline_named_preset,fair,trusted_offline,461,0.8675030701776706,,,,,0.8915401301518439,0.8915401301518439,0.7953918902551491,1819.8512179851532,615.5238254070282,0.004096126888982605,0.026030368763557483,0.03253796095444685,0.028199566160520606,"{""domain_1"": 0.0026058153646865, ""domain_2"": 0.00521811047001161}",,,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/candidate_structure_chunks_v1_full,,,[]
candidate_structure_chunks_v2_doc_guard_10,candidate_structure_chunks_v2_doc_guard,candidate_structure_chunks_v2_doc_guard,retrieval_doc_stability,10q,artifact_present,offline_named_preset,fair,trusted_offline,10,0.976991199119912,,,,,1.0,1.0,0.907964796479648,130.8337438106537,43.94901990890503,,,,,{},,,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/candidate_structure_chunks_v2_doc_guard_10,,,[]
candidate_structure_chunks_v2_doc_guard_50,candidate_structure_chunks_v2_doc_guard,candidate_structure_chunks_v2_doc_guard,retrieval_doc_stability,50q,artifact_present,offline_named_preset,fair,trusted_offline,50,0.916043543138631,,,,,0.94,0.94,0.8441741725545241,270.70468616485596,89.93186450004578,,,,,{},,,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/candidate_structure_chunks_v2_doc_guard_50,,,[]
candidate_structure_chunks_v2_doc_guard_fold0,candidate_structure_chunks_v2_doc_guard,candidate_structure_chunks_v2_doc_guard,retrieval_doc_stability,fold0,artifact_present,offline_named_preset,fair,trusted_offline,73,0.8210154995620518,,,,,0.8767123287671232,0.821917808219178,0.7087195324947818,330.7065439224243,97.34664607048035,-0.009853837053744183,0.1095890410958904,0.0958904109589041,0.0410958904109589,"{""domain_1"": 0.012711864406779662, ""domain_2"": -0.034353741496598644}",2767a4f7cc7035dcac87c4ea1a0937a3b563a7921e594cc6c13b8df730f6ae84,a30-standby,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/candidate_structure_chunks_v2_doc_guard_fold0,,,[]
candidate_structure_chunks_v2_doc_guard_full,candidate_structure_chunks_v2_doc_guard,candidate_structure_chunks_v2_doc_guard,retrieval_doc_stability,full_dev,artifact_present,offline_named_preset,fair,trusted_offline,461,0.881726109841001,,,,,0.8915401301518439,0.9219088937093276,0.8219152853509866,1769.9030151367188,592.866804599762,0.018319166552312877,0.0737527114967462,0.0824295010845987,0.028199566160520606,"{""domain_1"": 0.014551660879845009, ""domain_2"": 0.021155539644132804}",,,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/candidate_structure_chunks_v2_doc_guard_full,,,[]
smoke_v7,v7_baseline,v7_baseline,submission_lineage,10q,artifact_present,offline_named_preset,fair,trusted_offline,1,1.0,,,,,1.0,1.0,1.0,93.72466039657593,35.95035672187805,,,,,{},,,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/smoke_v7,,,[]
smoke_v7_10,v7_baseline,v7_baseline,submission_lineage,10q,artifact_present,offline_named_preset,fair,trusted_offline,10,0.976991199119912,,,,,1.0,1.0,0.907964796479648,66.99384641647339,14.942033290863037,,,,,{},,,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/smoke_v7_10,,,[]
structure_doc_guard,,candidate_structure_chunks_v2_doc_guard public submission.,submission_lineage,public_kaggle,public_complete,public_kaggle,public_final,trusted_public,,0.8415,0.8415,0.86,,candidate_structure_chunks_v2_doc_guard_full,,,,,,,,,,{},,,,Strong local winner that still lost decisively to the simpler v7 system in competition.,,[]
v11,,Dense doc lock v2 public submission.,submission_lineage,public_kaggle,public_complete,public_kaggle,public_final,trusted_public,,0.832,0.832,0.841,,candidate_ddl_v2_fulldev,,,,,,,,,,{},,,,Dense doc lock v2 also failed to generalize despite the long-document heuristic.,,[]
v13,,candidate_v5_refocus_v1 public submission.,submission_lineage,public_kaggle,public_complete,public_kaggle,public_final,trusted_public,,0.8231,0.8231,0.8441,,candidate_v5_refocus_v1_full_dev,,,,,,,,,,{},,,,Prompt-only submission that looked locally promising but regressed on the final leaderboard.,,[]
v14,,candidate_dense_doc_lock_v3 clean resubmission.,submission_lineage,public_kaggle,public_complete,public_kaggle,public_final,trusted_public,,0.832,0.832,0.8396,,candidate_ddl_v3_fulldev,,,,,,,,,,{},,,,Dense doc lock v3 stayed negative on Kaggle despite strong local offline evidence.,,[]
v5_offline,,Notebook v5 offline public submission.,submission_lineage,public_kaggle,public_complete,public_kaggle,public_final,trusted_public,,0.8043,0.8043,0.8124,,,,,,,,,,,,{},,,,Early public baseline retained for leaderboard chronology.,,[]
v6_reranker,,Notebook v6 reranker public submission.,submission_lineage,public_kaggle,public_complete,public_kaggle,public_final,trusted_public,,0.8618,0.8618,0.8517,,candidate_stronger_reranker_v1,,,,,,,,,,{},,,,"Historically strong public score, but the linked local 4B comparison remains confounded.",,[]
